Word,Contains Multiple?,Vowels,Green Score,Yellow Score
toter,True,2,4416,2103
waifs,False,2,6621,1280
limby,False,1,2677,1327
alure,False,3,0,4334
elint,False,2,0,3559
exude,True,3,0,3016
annas,True,2,4912,2154
sputa,False,2,897,3133
ettin,True,2,0,2567
oaker,False,3,4583,1203
yerks,False,1,5647,1807
noils,False,2,6043,2143
trier,True,2,2323,3475
yulan,False,2,2033,1784
ghast,False,1,1181,2476
tuile,False,3,1185,4152
kylin,False,1,848,2052
cadet,False,2,5503,1116
molys,False,1,7584,108
dobro,True,2,2093,2119
barry,True,1,5662,716
disme,False,2,1380,3133
tifos,False,2,5330,1689
betid,False,2,1730,3121
sonar,False,2,3055,3306
butte,True,2,2990,2134
dojos,True,2,6043,1423
befog,False,2,908,2643
noles,False,2,9214,325
guyot,False,2,1822,1635
avels,False,2,3950,2441
kneel,True,2,2323,2077
suety,False,2,3379,2442
biali,True,3,2288,2286
perve,True,2,2054,3300
kieve,True,3,1380,2931
faves,False,2,9128,240
stims,True,1,3950,3248
qibla,False,2,1458,1784
sprig,False,1,1197,2811
cited,False,2,5445,615
tinas,False,2,6292,1888
profs,False,1,4807,2162
gamay,True,2,4194,1583
simis,True,2,5330,2950
duads,True,2,5135,2387
picks,False,1,6687,392
sweer,True,2,2323,3278
sippy,True,1,2677,2341
mound,False,2,3608,1452
hault,False,2,2260,2651
gouts,False,2,7577,666
zobos,True,2,6043,1135
shaws,True,1,4494,2923
fosse,True,2,2688,2565
vawte,False,2,3399,1790
telia,False,3,848,4000
soggy,True,1,3390,2344
dopes,False,2,8366,1044
sheal,False,2,544,3990
crape,False,2,920,4112
jimmy,True,1,2879,912
swale,False,2,0,5248
loans,False,2,6043,2596
strop,False,1,1197,2642
pizes,False,2,8652,0
synes,True,1,7235,1827
kiers,False,2,5330,1973
agley,False,2,4468,811
matzo,False,2,2953,1129
bands,False,1,8080,471
blahs,False,1,4858,2167
lymph,False,0,0,2137
lysis,True,1,3950,2253
ruche,False,2,1185,2774
anion,True,3,0,3354
chomp,False,1,1464,1538
dikas,False,2,5330,2022
volta,False,2,4080,679
luffs,True,1,5135,986
howso,True,2,2093,1662
quiff,True,2,1263,1362
bling,False,1,908,2673
clomb,False,1,920,2147
upper,True,2,2323,1453
dumps,False,1,5135,1609
buddy,True,1,3390,861
caron,False,2,4377,1226
upped,True,2,3145,780
shite,False,2,1441,4126
raxed,False,2,5538,628
kamis,False,2,6210,1765
sweal,False,2,0,4153
creep,True,2,3243,1969
albee,True,3,2323,3286
taint,True,2,2260,3374
bitsy,False,1,3585,1130
abyss,True,1,3950,1545
gadje,False,2,2897,1938
spaul,False,2,0,3899
shiny,False,1,1841,3393
fusts,True,1,6627,531
yeeds,True,2,3950,3160
cusks,True,1,6555,531
deely,True,2,1297,3960
smolt,False,1,0,4234
lanky,False,1,5019,575
unwon,True,2,0,2031
ology,True,2,1297,2370
anise,False,3,0,4162
foram,False,2,3885,1255
scops,True,1,3950,3143
rakia,True,3,2260,2455
banjo,False,2,4130,417
domic,False,2,2093,2198
hoody,True,2,3390,1948
shott,True,1,1441,3275
sooth,True,2,2990,2916
panim,False,2,4079,1062
lathi,False,2,2260,1705
licit,True,2,1380,2573
machi,False,2,2953,907
vetch,False,1,242,3014
boffo,True,2,3001,799
belch,False,1,1756,2399
downa,False,2,2093,2417
tofus,False,2,6043,1394
wulls,True,1,6394,771
steno,False,2,0,3855
hoten,False,2,4416,1633
snoep,False,2,2323,3041
meted,True,2,3838,2241
halls,True,1,7058,1259
tryke,False,1,500,3487
lovat,False,2,2093,2614
vardy,False,1,4996,471
modal,False,2,2786,1938
updry,False,1,1297,1523
lythe,False,1,0,3211
nidus,False,2,5330,1116
stave,False,2,0,4708
kanji,False,2,3222,684
poted,False,2,6095,615
stabs,True,1,3950,3276
pargo,False,2,4314,810
slews,True,1,3950,3267
cirri,True,2,3497,996
grosz,False,1,637,2476
pooks,True,2,7400,989
pimps,True,1,6187,928
emmys,True,1,3950,1109
flies,False,2,6868,1744
nelly,True,1,2145,2722
felly,True,1,2740,2397
nuffs,True,1,5135,736
amity,False,2,2194,1971
vodun,False,2,2335,1321
stock,False,1,0,3451
cacti,True,2,4077,672
skips,True,1,3950,3120
whops,False,1,4905,1407
apian,True,3,0,3614
acted,False,2,3145,1527
bawty,False,1,5362,271
lande,False,2,3222,2565
tufts,True,1,6032,993
besot,False,2,908,3579
mewls,False,1,4643,2668
sunns,True,1,6097,2346
pulus,True,2,6840,401
paint,False,2,3117,2559
gouch,False,2,2730,1439
scrag,False,1,1197,2952
quote,False,3,2160,2508
louis,False,3,6043,2121
heeds,True,2,3950,3467
jihad,False,2,2404,1193
minus,False,2,6985,401
unban,True,2,0,2471
ranke,False,2,3722,2147
licht,False,1,1380,1928
ishes,True,2,6273,378
grees,True,2,6910,1822
gimpy,False,1,3314,928
paren,False,2,6637,530
nudzh,False,1,1185,1208
thawy,False,1,1841,2178
toras,False,2,7240,1888
laten,False,2,4583,1720
enoki,False,3,500,1917
limey,False,2,5000,1085
biked,False,2,5433,268
grans,False,1,4587,2961
emmas,True,2,3950,2074
enews,True,2,3950,1658
aweel,True,3,2323,2256
sedum,False,2,0,4159
askew,False,2,2323,1161
arish,False,2,0,3605
fusee,True,3,4103,2050
tolas,False,2,6891,1888
carve,False,2,4377,1674
rayle,False,2,2260,3131
emits,False,2,4847,1538
dampy,False,1,3557,1609
fakes,False,2,9128,268
meson,False,2,693,3383
gaita,True,3,3794,1726
fauve,False,3,2855,2340
slung,False,1,0,3852
vowel,False,2,4658,746
goffs,True,1,6680,411
fogou,True,3,2688,1125
vinic,True,2,2584,1007
ratan,True,2,2260,2846
becke,True,2,1408,3537
algal,True,2,0,3343
manis,False,2,7865,880
gelds,False,1,5435,2097
erred,True,2,4342,1243
pekoe,True,3,857,4109
flitt,True,1,1492,2470
dotty,True,1,4287,1296
tronc,False,1,0,3657
loirs,False,2,6043,2338
firie,True,3,3172,2399
gonks,False,1,8142,0
joles,False,2,9416,0
lumen,False,2,3508,1615
sensa,True,2,962,4380
undid,True,2,822,1804
dhobi,False,2,544,2192
tuner,False,2,4470,1488
skail,False,2,0,4245
homey,False,2,5713,998
alack,True,2,0,3331
clear,False,2,920,3325
slums,True,1,3950,3325
mange,False,2,3915,1941
weamb,False,2,411,3322
papas,True,2,7067,1436
smoot,True,2,0,4159
buats,False,2,6940,1235
hooka,True,3,2593,2156
recco,True,2,0,3440
agars,True,2,3950,2762
plank,False,1,857,2975
bolas,False,2,7799,1073
bolix,False,2,3849,950
hashy,True,1,3557,1254
easel,True,3,4583,1309
wasps,True,1,6621,949
sexto,False,2,1030,3574
queer,True,3,3586,1555
wacke,False,2,3171,1911
crits,False,1,5767,1987
moria,False,3,3983,1559
uncos,False,2,3950,1622
kibei,True,3,3703,989
parly,False,1,5611,771
ebbet,True,2,2323,1444
rusks,True,1,5635,1159
kibbe,True,2,1380,2470
buppy,True,1,3390,781
zeals,False,2,3950,3737
glout,False,2,637,2813
bigly,False,1,3585,1133
stool,True,2,0,3959
avale,True,3,0,4313
wales,False,2,9792,0
fermi,False,2,1792,2308
unred,False,2,4342,534
puppy,True,1,3339,781
swayl,False,1,0,3541
peage,True,3,857,4802
bingy,False,1,4547,422
verts,False,1,6286,1626
baaed,True,3,6313,1235
mogul,False,2,2786,1238
beany,False,2,2205,3647
debel,True,2,2323,3116
mifty,False,1,4267,178
levis,False,2,3950,3321
gowfs,False,1,6680,504
winks,False,1,7203,0
musha,False,2,1878,1445
bayes,False,2,9441,213
bidet,False,2,4611,1116
starr,True,1,0,4423
cloye,False,2,920,3313
ennui,True,3,962,1329
hussy,True,1,2482,1534
cosey,False,2,6633,531
coset,False,2,5336,1257
darcy,False,1,4754,1087
iodid,True,3,2915,1435
treks,False,1,4450,2637
tsars,True,1,3950,2859
groof,True,2,637,2707
razoo,True,3,2402,1712
polls,True,1,7748,771
clame,False,2,920,3853
pilei,True,3,5408,280
bunns,True,1,7005,786
donko,True,2,3555,1069
fedex,True,2,2918,2086
vasal,True,2,2502,2079
enema,True,3,0,2611
gaffe,True,2,2897,1930
slash,True,1,0,4374
prise,False,2,857,4021
mandi,False,2,3915,751
solve,False,2,2941,3234
dames,False,2,8533,1191
hullo,True,2,2033,1647
snarl,False,1,0,4331
monty,False,1,5942,0
wuxia,False,3,1729,1559
beige,True,3,908,4614
reech,True,2,0,3909
solus,True,2,6891,1961
doggy,True,1,3390,1465
evohe,True,3,0,3098
papal,True,2,3117,1911
dolce,False,2,2941,2606
awork,False,2,0,2861
cedar,False,2,920,3762
youse,False,3,2093,2881
mamey,True,2,6573,510
icily,True,2,1297,2159
scoup,False,2,0,3273
zonda,False,2,3055,1255
whamo,False,2,955,2025
serry,True,1,2494,3902
coyed,False,2,6158,213
amine,False,3,0,4276
mudra,False,2,1878,1785
clews,False,1,4870,1707
proof,True,2,857,2707
horny,False,1,4587,1274
jarul,False,2,3659,876
falaj,True,2,3703,1076
clons,False,1,4870,2472
limbs,False,1,5330,1327
anyon,True,2,0,2520
lanch,False,1,3222,1348
muled,False,2,5871,0
kirri,True,2,2577,1371
kroon,True,2,0,3530
skees,True,2,6273,2537
gothy,False,1,4027,850
james,False,2,8735,510
chirr,True,1,1464,2436
yarta,True,2,4354,860
rayas,True,2,6210,1914
femme,True,2,595,4057
kasha,True,2,2260,1820
milos,False,2,6871,696
asyla,True,2,0,2492
tanks,False,1,7672,815
unbox,False,2,0,1634
umber,False,2,2323,1384
crine,False,2,920,4292
situp,False,2,1380,2723
singe,False,2,2342,3501
pyrex,False,1,4377,337
flote,False,2,1492,3205
yogis,False,2,6043,1423
scrow,False,1,1197,2496
kypes,False,1,6273,1005
esses,True,2,6273,927
istle,False,2,0,3163
jeeps,True,2,4152,2926
zendo,False,2,962,2590
rough,False,2,2093,2083
tight,True,1,1380,2138
stewy,False,1,1297,2809
scent,False,1,0,4130
arett,True,2,897,3284
yelts,False,1,5695,1807
apode,False,3,0,3943
hoaed,False,3,5238,1723
ivies,True,3,6273,1264
heids,False,2,3950,3632
twire,False,2,0,4260
sighs,True,1,5330,2157
coppy,True,1,4310,781
jotun,False,2,2295,1546
chems,False,1,5414,1284
benes,True,2,8143,1626
jebel,True,2,2525,2435
swaly,False,1,1297,3729
holks,False,1,7391,488
doest,False,2,2093,2804
fluky,False,1,2392,1363
wares,False,2,10141,0
cusso,True,2,2105,1434
reist,False,2,0,4542
darbs,False,1,7407,923
peans,False,2,4807,3647
erven,True,2,2323,2013
peeoy,True,3,2154,3204
curls,False,1,7252,771
sways,True,1,3950,3066
blaud,False,2,1730,2333
nowts,False,1,6940,596
proso,True,2,857,2832
zooid,True,3,2915,1974
liard,False,2,2202,2526
oundy,False,2,3444,733
sughs,True,1,5135,2157
jehus,False,2,4152,2147
cotts,True,1,7860,615
guess,True,2,5772,1397
teste,True,2,897,4491
bizes,False,2,8703,0
loipe,False,3,2093,3559
liart,False,2,1380,3252
gitch,False,1,2017,1388
mauds,False,2,6903,1137
mufti,False,2,2775,458
vutty,True,1,3621,615
haver,False,2,4583,1401
diker,False,2,3703,1622
score,False,2,0,4960
araks,True,2,4450,2911
wekas,False,2,4361,2967
nuked,False,2,4330,593
nervy,False,1,2494,2106
spiff,True,1,0,3150
orbed,False,2,3145,1536
buyer,False,2,4416,886
routs,False,2,6940,1294
impel,False,2,2323,1191
truly,False,1,1297,3192
presa,False,2,857,3016
whats,False,1,5802,1235
naans,True,2,6210,2346
seams,True,2,3950,4823
flint,False,1,595,3256
rives,False,2,7653,868
matai,True,3,2953,1968
culpa,False,2,2953,1097
frere,True,2,595,4057
wazir,False,2,2813,1553
logon,True,2,2093,2163
gungy,True,1,4081,422
wrang,False,1,411,3104
fenis,False,2,5507,2506
rakes,False,2,8533,896
fores,False,2,10158,0
duroc,False,2,2382,1504
ailed,False,3,5373,736
clous,False,2,4870,2087
toyon,True,2,2093,2254
sawer,False,2,4583,2504
tikis,True,2,5330,1963
withy,False,1,3088,850
embed,True,2,3145,825
subas,True,2,5135,2967
dadas,True,2,6210,2144
bacca,True,2,3168,1477
epees,True,3,6273,1413
kamas,True,2,6210,1958
earst,False,2,3457,1544
prole,False,2,857,4219
cimar,False,2,2300,2256
dirts,False,1,7424,681
strep,False,1,3520,1946
mount,False,2,2786,2178
lacet,False,2,4583,1693
wrier,True,2,2734,2660
nites,False,2,7653,940
nomas,False,2,6043,1908
rearm,True,2,0,4387
yclad,False,1,1670,1430
galed,False,2,6890,0
owsen,False,2,2323,1486
tints,True,1,7189,815
sculk,False,1,0,3430
culet,False,2,5276,726
swamp,False,1,0,3507
homie,False,3,2093,3397
keens,True,2,3950,3669
genny,True,1,2896,2412
split,False,1,848,3394
anvil,False,2,0,2676
stoln,False,1,0,4089
sazes,True,2,8675,1560
pesky,False,1,2654,2157
bento,False,2,2767,2014
witan,False,2,1791,2218
besit,False,2,908,3763
clubs,False,1,4870,1605
causa,True,3,3180,1860
weids,False,2,4361,3144
theic,False,2,544,2704
fitch,False,1,1975,1388
deere,True,3,0,5424
kelim,False,2,848,3063
chare,False,2,1464,3470
simas,True,2,5330,3143
madam,True,2,2953,1645
jumbo,False,2,1387,1140
pronk,False,1,857,2972
enols,False,2,3950,2408
jails,False,2,6412,1818
tohos,True,2,6043,1631
kagos,False,2,6210,1433
plues,False,2,7130,1363
aboil,False,3,0,3161
bangs,False,1,8080,422
graze,False,2,637,3820
kauri,False,3,2260,2037
rewin,False,2,0,3935
weize,True,3,411,4318
hadji,False,2,2260,1187
misdo,False,2,2073,1390
parma,True,2,4314,1081
urent,False,2,0,3523
laich,False,2,2260,2395
panni,True,2,4079,1066
deary,False,2,1297,4258
coses,True,2,9286,531
exome,True,3,0,3270
mohel,False,2,5109,595
poems,False,2,6900,1284
axoid,False,3,822,2662
chump,False,1,1464,1215
puked,False,2,5187,268
apers,False,2,3950,2562
claro,False,2,920,3036
slade,False,2,0,5482
fetts,True,1,5442,2241
mutts,True,1,6725,615
rural,True,2,2382,2176
vower,False,2,4658,944
argan,True,2,0,3641
stook,True,2,0,3741
muids,False,2,5828,1518
budge,False,2,2093,2331
arvos,False,2,3950,2612
cynic,True,1,1882,1274
fasci,False,2,2855,1217
jurel,False,2,4907,475
grand,False,1,1459,2961
gynie,False,2,1599,2666
garbs,False,1,8044,242
cuffs,True,1,6055,411
beget,True,2,3231,2714
abled,False,2,3993,817
artel,False,2,2323,2766
miens,False,2,6023,1668
shops,True,1,4494,2967
piums,False,2,6187,1068
maxis,False,2,7036,880
kwela,False,2,0,2870
rigid,True,2,2202,1870
vends,False,1,5154,2097
farts,False,1,8899,0
asana,True,3,0,3529
viers,False,2,5572,1598
later,False,2,4583,1863
haith,True,2,3157,1902
motte,True,2,3683,2134
kokas,True,2,6043,1716
cooed,True,3,6158,989
drent,False,1,0,4015
ekkas,True,2,3950,1739
whata,True,2,1852,1914
sweir,False,2,0,4158
borne,False,2,4198,2305
karas,True,2,7407,1448
heats,False,2,4847,3349
etude,True,3,0,3198
regna,False,2,0,4081
resew,True,2,2323,2849
bulbs,True,1,6891,242
